Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
"Pozostałe obiekty noclegowe
Other establishments ",VI,993464.0,0.0,2019,993464.0
"Domy wycieczkowe 
Excursion hostels",VI,10944.0,574.0,2019,10370.0
"Schroniska 
Shelters",VI,21028.0,508.0,2019,20520.0
"Schroniska młodzieżowe 
Youth shelters",VI,8640.0,1018.0,2019,7622.0
"Szkolne schroniska młodzieżowe
School youth shelters",VI,38263.0,0.0,2019,38263.0
"Ośrodki wczasowe 
Holiday centres",VI,254949.0,10127.0,2019,244822.0
"Ośrodki kolonijne 
Holiday youth centres",VI,22325.0,62.0,2019,22263.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VI,134646.0,4168.0,2019,130478.0
"Domy pracy twórczej 
Creative arts centres",VI,5398.0,278.0,2019,5120.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VI,62172.0,0.0,2019,62172.0
"Kempingi 
Camping sites",VI,47661.0,19063.0,2019,28598.0
"Pola biwakowe  
Tent camp sites",VI,14263.0,0.0,2019,14263.0
"Hostele 
Hostels",VI,76320.0,23790.0,2019,52530.0
"Zakłady uzdrowiskowe 
Health establishments",VI,81679.0,5018.0,2019,76661.0
"Pokoje gościnne 
Rooms for guests",VI,95698.0,10977.0,2019,84721.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VI,19043.0,943.0,2019,18100.0
"Pozostałe niesklasyfikowane 
Other not classified",VI,100435.0,10145.0,2019,90290.0
O G Ó Ł E M                       2018           ,VII,3926772.0,820850.0,2019,3105922.0
T O T A L                            2019            ,VII,4059520.0,880451.0,2019,3179069.0
"Obiekty hotelowe 
Hotels and similar establishments",VII,2650754.0,733513.0,2019,1917241.0
"Hotele 
Hotels",VII,2225208.0,663388.0,2019,1561820.0
"Motele  
Motels",VII,22019.0,0.0,2019,22019.0
"Pensjonaty 
Boarding house",VII,85045.0,0.0,2019,85045.0
"Inne obiekty hotelowe 
Other hotel establishments",VII,318482.0,58788.0,2019,259694.0
"Pozostałe obiekty noclegowe
Other establishments ",VII,1408766.0,0.0,2019,1408766.0
"Domy wycieczkowe 
Excursion hostels",VII,12770.0,525.0,2019,12245.0
"Schroniska 
Shelters",VII,23983.0,1040.0,2019,22943.0
"Schroniska młodzieżowe 
Youth shelters",VII,8163.0,1272.0,2019,6891.0
"Szkolne schroniska młodzieżowe
School youth shelters",VII,36964.0,0.0,2019,36964.0
"Ośrodki wczasowe 
Holiday centres",VII,367073.0,14658.0,2019,352415.0
"Ośrodki kolonijne 
Holiday youth centres",VII,34300.0,253.0,2019,34047.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VII,148583.0,4856.0,2019,143727.0
"Domy pracy twórczej 
Creative arts centres",VII,5172.0,269.0,2019,4903.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VII,110986.0,0.0,2019,110986.0
"Kempingi 
Camping sites",VII,115032.0,42767.0,2019,72265.0
"Pola biwakowe  
Tent camp sites",VII,39596.0,0.0,2019,39596.0
"Hostele 
Hostels",VII,79729.0,28819.0,2019,50910.0
"Zakłady uzdrowiskowe 
Health establishments",VII,86361.0,5784.0,2019,80577.0
"Pokoje gościnne 
Rooms for guests",VII,190673.0,15934.0,2019,174739.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VII,27420.0,1417.0,2019,26003.0
"Pozostałe niesklasyfikowane 
Other not classified",VII,121961.0,16297.0,2019,105664.0
O G Ó Ł E M                       2018           ,VIII,4067560.0,830445.0,2019,3237115.0
T O T A L                            2019            ,VIII,4319590.0,880577.0,2019,3439013.0
"Obiekty hotelowe 
Hotels and similar establishments",VIII,2874595.0,744617.0,2019,2129978.0
"Hotele 
Hotels",VIII,2430523.0,678571.0,2019,1751952.0
"Motele  
Motels",VIII,23359.0,0.0,2019,23359.0
"Pensjonaty 
Boarding house",VIII,91078.0,0.0,2019,91078.0
"Inne obiekty hotelowe 
Other hotel establishments",VIII,329635.0,54369.0,2019,275266.0
"Pozostałe obiekty noclegowe
Other establishments ",VIII,1444995.0,0.0,2019,1444995.0
